abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,['Seed'],49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,['Seed'],63,1059860,1.0,60,Fushigisouフシギソウ,Ivysaur,88.1,2,80,80,60,grass,poison,13.0,1,0
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,['Seed'],123,1059860,2.0,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,80,grass,poison,100.0,1,0
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,['Lizard'],43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,4,60,50,65,fire,fire,8.5,1,0
"['Blaze', 'Solar Power']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,['Flame'],58,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,5,80,65,80,fire,fire,19.0,1,0
"['Blaze', 'Solar Power']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,['Flame'],78,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,"['Tiny', 'Turtle']",65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,43,water,water,9.0,1,0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,['Turtle'],80,1059860,1.0,59,Kameilカメール,Wartortle,88.1,8,65,80,58,water,water,22.5,1,0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,['Shellfish'],120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,115,78,water,water,85.5,1,0
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,['Worm'],35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50,10,20,20,45,bug,bug,2.9,1,0
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,['Cocoon'],55,1000000,0.7,50,Transelトランセル,Metapod,50,11,25,25,30,bug,bug,9.9,1,0
"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,['Butterfly'],50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50,12,90,80,70,bug,flying,32.0,1,0
"['Shield Dust', 'Run Away']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,['Hairy'],30,1000000,0.3,40,Beedleビードル,Weedle,50,13,20,20,50,bug,poison,3.2,1,0
['Shed Skin'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,['Cocoon'],50,1000000,0.6,45,Cocoonコクーン,Kakuna,50,14,25,25,35,bug,poison,10.0,1,0
"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,"['Poison', 'Bee']",40,1000000,1.0,65,Spearスピアー,Beedrill,50,15,15,80,145,bug,poison,29.5,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,"['Tiny', 'Bird']",40,1059860,0.3,40,Poppoポッポ,Pidgey,50,16,35,35,56,normal,flying,1.8,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,['Bird'],55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50,17,50,50,71,normal,flying,30.0,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,['Bird'],80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50,18,135,80,121,normal,flying,39.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,['Mouse'],35,1000000,0.30,30,Korattaコラッタ,Rattata,50,19,25,35,72,normal,dark,3.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,3840,70,413,127,['Mouse'],70,1000000,0.71,75,Rattaラッタ,Raticate,50,20,40,80,77,normal,dark,18.5,1,0
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,262,255,"['Tiny', 'Bird']",30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,50,21,31,31,70,normal,flying,2.0,1,0
"['Keen Eye', 'Sniper']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,3840,70,442,90,['Beak'],65,1000000,1.2,65,Onidrillオニドリル,Fearow,50,22,61,61,100,normal,flying,38.0,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5120,70,288,255,['Snake'],44,1000000,2.0,35,Arboアーボ,Ekans,50,23,40,54,55,poison,poison,6.9,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,['Cobra'],69,1000000,3.5,60,Arbokアーボック,Arbok,50,24,65,79,80,poison,poison,65.0,1,0
"['Static', 'Lightningrod']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,2560,70,320,190,['Mouse'],40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,50,25,50,50,90,electric,electric,6.0,1,0
"['Static', 'Lightningrod', 'Surge Surfer']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,2560,70,485,75,['Mouse'],50,1000000,0.79,60,Raichuライチュウ,Raichu,50,26,95,85,110,electric,electric,30.0,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,5120,70,300,255,['Mouse'],90,1000000,0.61,50,Sandサンド,Sandshrew,50,27,10,35,40,ground,ice,12.0,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,450,90,['Mouse'],120,1000000,0.99,75,Sandpanサンドパン,Sandslash,50,28,25,65,65,ground,ice,29.5,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,5120,70,275,235,"['Poison', 'Pin']",52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,0,29,40,40,41,poison,poison,7.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,5120,70,365,120,"['Poison', 'Pin']",67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,0,30,55,55,56,poison,poison,20.0,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,5120,70,505,45,['Drill'],87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,0,31,75,85,76,poison,ground,60.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,5120,70,273,235,"['Poison', 'Pin']",40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,100,32,40,40,50,poison,poison,9.0,1,0
